Generation,AverageFitness,BestFitness,WorstFitness
746,105570.74,106970.00,101230.00
747,105558.12,106970.00,99670.00
748,105569.00,106970.00,101730.00
749,105569.01,106970.00,100710.00
750,105604.96,106970.00,101530.00
751,105565.28,106970.00,101170.00
752,105581.70,106970.00,101290.00
753,105557.34,106970.00,99230.00
754,105510.77,106970.00,100410.00
755,105504.91,106970.00,100350.00
756,105536.25,106970.00,99930.00
757,105526.31,106970.00,100850.00
758,105509.79,106970.00,99410.00
759,105569.61,106970.00,99630.00
760,105580.55,106970.00,101310.00
761,105518.17,106970.00,100650.00
762,105615.48,106970.00,102170.00
763,105611.48,106970.00,101490.00
764,105567.45,106970.00,99530.00
765,105533.75,106970.00,100530.00
766,105525.39,106970.00,98290.00
767,105487.20,106970.00,97110.00
768,105597.62,106970.00,101850.00
769,105602.53,106970.00,100170.00
770,105578.84,106970.00,100470.00
771,105635.01,106970.00,100390.00
772,105556.73,106970.00,99410.00
773,105567.27,106970.00,101290.00
774,105520.82,106970.00,102230.00
775,105562.73,106970.00,101110.00
776,105540.05,106970.00,101550.00
777,105510.41,106970.00,98510.00
778,105614.64,106970.00,100470.00
779,105667.94,106970.00,102150.00
780,105610.43,106970.00,101170.00
781,105673.10,106970.00,100230.00
782,105604.08,106970.00,100410.00
783,105567.23,106970.00,100290.00
784,105521.77,106970.00,97810.00
785,105509.81,106970.00,101050.00
786,105549.79,106970.00,100730.00
787,105580.55,106970.00,100110.00
788,105536.20,106970.00,100410.00
789,105516.67,106970.00,100970.00
790,105570.20,106970.00,101590.00
791,105532.62,106970.00,100470.00
792,105592.38,106970.00,101590.00
793,105624.47,106970.00,99910.00
794,105513.88,106970.00,100770.00
795,105572.26,106970.00,100850.00
796,105542.57,106970.00,97110.00
797,105558.43,106970.00,101250.00
798,105546.80,106970.00,100830.00
799,105540.38,106970.00,101470.00
800,105546.67,106970.00,100310.00
801,105578.77,106970.00,99350.00
802,105639.25,106970.00,100050.00
803,105547.54,106970.00,99170.00
804,105554.95,106970.00,98530.00
805,105527.53,106970.00,100050.00
806,105556.92,106970.00,99750.00
807,105585.41,106970.00,101290.00
808,105554.88,106970.00,100050.00
809,105568.16,106970.00,101110.00
810,105606.88,106970.00,99870.00
811,105565.34,106970.00,100530.00
812,105555.96,106970.00,99370.00
813,105577.14,106970.00,101530.00
814,105611.23,106970.00,101050.00
815,105562.01,106970.00,100290.00
816,105602.41,106970.00,101230.00
